Database Report 1 (R4)	Total Searches, Result Clicks and Record Views by Month and Database
BADISCHE LANDESBIBLIOTHEK
BADISCHE LANDESBIBLIOTHEK
Period covered by Report:
2019-01-01 to 2019-04-30
Date run:
2019-09-17
Database	Publisher	Platform	User Activity	Reporting Period Total	Jan-2019	Feb-2019	Mar-2019	Apr-2019
PSYNDEX: Literature and Audiovisual Media with PSYNDEX Tests	EBSCO	EBSCOhost	Searches-federated and automated	289784	76504	72399	73062	67819
PSYNDEX: Literature and Audiovisual Media with PSYNDEX Tests	EBSCO	EBSCOhost	Result Clicks	1326	595	204	343	184
PSYNDEX: Literature and Audiovisual Media with PSYNDEX Tests	EBSCO	EBSCOhost	Record Views	1451	565	280	365	241
Persée	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
Persée	EBSCO	EBSCOhost	Searches-federated and automated	287728	75939	71910	72579	67300
Persée	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
Persée	EBSCO	EBSCOhost	Record Views	41	7	5	17	12
PsycARTICLES	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
PsycARTICLES	EBSCO	EBSCOhost	Searches-federated and automated	5064	65	1344	1925	1730
PsycARTICLES	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
PsycARTICLES	EBSCO	EBSCOhost	Record Views	4	0	4	0	0
PsychiatryOnline	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
PsychiatryOnline	EBSCO	EBSCOhost	Searches-federated and automated	282742	75888	70587	70675	65592
PsychiatryOnline	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
PsychiatryOnline	EBSCO	EBSCOhost	Record Views	1	0	0	0	1
RAMBI	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
RAMBI	EBSCO	EBSCOhost	Searches-federated and automated	287969	75984	71989	72636	67360
RAMBI	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
RAMBI	EBSCO	EBSCOhost	Record Views	134	32	44	34	24
RILM Abstracts of Music Literature with Full Text	EBSCO	EBSCOhost	Regular Searches	1258	229	356	510	163
RILM Abstracts of Music Literature with Full Text	EBSCO	EBSCOhost	Searches-federated and automated	284504	76399	70994	71092	66019
RILM Abstracts of Music Literature with Full Text	EBSCO	EBSCOhost	Result Clicks	2167	433	675	836	223
RILM Abstracts of Music Literature with Full Text	EBSCO	EBSCOhost	Record Views	1883	345	655	694	189
RePEc	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
RePEc	EBSCO	EBSCOhost	Searches-federated and automated	289406	76388	72293	72995	67730
RePEc	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
RePEc	EBSCO	EBSCOhost	Record Views	98	33	18	19	28
ReadEx	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
ReadEx	EBSCO	EBSCOhost	Searches-federated and automated	284106	76245	70916	71022	65923
ReadEx	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
ReadEx	EBSCO	EBSCOhost	Record Views	4	0	0	0	4
Retro.seals.ch	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
Retro.seals.ch	EBSCO	EBSCOhost	Searches-federated and automated	283391	76100	70752	70791	65748
Retro.seals.ch	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
Retro.seals.ch	EBSCO	EBSCOhost	Record Views	22	3	7	3	9
SSOAR – Social Science Open Access Repository	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
SSOAR – Social Science Open Access Repository	EBSCO	EBSCOhost	Searches-federated and automated	5078	66	1345	1934	1733
SSOAR – Social Science Open Access Repository	EBSCO	EBSCOhost	Result Clicks	4	1	0	3	0
SSOAR – Social Science Open Access Repository	EBSCO	EBSCOhost	Record Views	7	1	0	3	3
SZ LibraryNet	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
SZ LibraryNet	EBSCO	EBSCOhost	Searches-federated and automated	282787	75900	70619	70670	65598
SZ LibraryNet	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
SZ LibraryNet	EBSCO	EBSCOhost	Record Views	549	153	151	112	133
ScienceDirect	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
ScienceDirect	EBSCO	EBSCOhost	Searches-federated and automated	284315	76339	70956	71051	65969
ScienceDirect	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
ScienceDirect	EBSCO	EBSCOhost	Record Views	7990	2289	2111	2264	1326
Supplemental Index	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
Supplemental Index	EBSCO	EBSCOhost	Searches-federated and automated	289884	76563	72413	73091	67817
Supplemental Index	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
Supplemental Index	EBSCO	EBSCOhost	Record Views	592	160	147	164	121
TEMA	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
TEMA	EBSCO	EBSCOhost	Searches-federated and automated	288514	76175	72107	72721	67511
TEMA	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
TEMA	EBSCO	EBSCOhost	Record Views	200	31	77	24	68
Teacher Reference Center	EBSCO	EBSCOhost	Regular Searches	205	15	144	31	15
Teacher Reference Center	EBSCO	EBSCOhost	Searches-federated and automated	284347	76356	70951	71065	65975
Teacher Reference Center	EBSCO	EBSCOhost	Result Clicks	16	4	5	4	3
Teacher Reference Center	EBSCO	EBSCOhost	Record Views	11	2	4	3	2
The Nation Archive (DFG)	EBSCO	EBSCOhost	Regular Searches	191	14	145	17	15
The Nation Archive (DFG)	EBSCO	EBSCOhost	Searches-federated and automated	289048	76271	72230	72919	67628
The Nation Archive (DFG)	EBSCO	EBSCOhost	Result Clicks	1	1	0	0	0
The Nation Archive (DFG)	EBSCO	EBSCOhost	Record Views	1	1	0	0	0
The New Republic Archive (DFG)	EBSCO	EBSCOhost	Regular Searches	190	14	144	17	15
The New Republic Archive (DFG)	EBSCO	EBSCOhost	Searches-federated and automated	289048	76273	72229	72920	67626
The New Republic Archive (DFG)	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
The New Republic Archive (DFG)	EBSCO	EBSCOhost	Record Views	0	0	0	0	0
Theologische Realenzyklopädie Online	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
Theologische Realenzyklopädie Online	EBSCO	EBSCOhost	Searches-federated and automated	139702	0	165	72248	67289
Theologische Realenzyklopädie Online	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
Theologische Realenzyklopädie Online	EBSCO	EBSCOhost	Record Views	13	0	11	1	1
Verfasser-Datenbank	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
Verfasser-Datenbank	EBSCO	EBSCOhost	Searches-federated and automated	282598	75823	70566	70650	65559
Verfasser-Datenbank	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
Verfasser-Datenbank	EBSCO	EBSCOhost	Record Views	7	0	6	1	0
Wiley Digital Archives	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
Wiley Digital Archives	EBSCO	EBSCOhost	Searches-federated and automated	811	0	0	355	456
Wiley Digital Archives	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
Wiley Digital Archives	EBSCO	EBSCOhost	Record Views	2	0	0	2	0
World Affairs Online WAO	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
World Affairs Online WAO	EBSCO	EBSCOhost	Searches-federated and automated	5090	65	1347	1934	1744
World Affairs Online WAO	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
World Affairs Online WAO	EBSCO	EBSCOhost	Record Views	49	0	10	10	29
World Bank eLibrary	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
World Bank eLibrary	EBSCO	EBSCOhost	Searches-federated and automated	282777	75893	70589	70694	65601
World Bank eLibrary	EBSCO	EBSCOhost	Result Clicks	1	0	0	1	0
World Bank eLibrary	EBSCO	EBSCOhost	Record Views	2	0	0	2	0
arXiv	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
arXiv	EBSCO	EBSCOhost	Searches-federated and automated	288929	76236	72201	72893	67599
arXiv	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
arXiv	EBSCO	EBSCOhost	Record Views	72	25	10	24	13
eBook Collection (EBSCOhost)	EBSCO	EBSCOhost	Regular Searches	311	41	152	56	62
eBook Collection (EBSCOhost)	EBSCO	EBSCOhost	Searches-federated and automated	0	0	0	0	0
eBook Collection (EBSCOhost)	EBSCO	EBSCOhost	Result Clicks	52	7	16	17	12
eBook Collection (EBSCOhost)	EBSCO	EBSCOhost	Record Views	22	3	7	6	6
eHRAF World Cultures	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
eHRAF World Cultures	EBSCO	EBSCOhost	Searches-federated and automated	283932	76181	70868	70986	65897
eHRAF World Cultures	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
eHRAF World Cultures	EBSCO	EBSCOhost	Record Views	0	0	0	0	0
wiso	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
wiso	EBSCO	EBSCOhost	Searches-federated and automated	285029	76582	71128	71176	66143
wiso	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
wiso	EBSCO	EBSCOhost	Record Views	992	276	269	214	233
