Database Report 1 (R4)	Total Searches, Result Clicks and Record Views by Month and Database
BADISCHE LANDESBIBLIOTHEK
BADISCHE LANDESBIBLIOTHEK
Period covered by Report:
2019-01-01 to 2019-04-30
Date run:
2019-09-17
Database	Publisher	Platform	User Activity	Reporting Period Total	Jan-2019	Feb-2019	Mar-2019	Apr-2019
CogPrints	EBSCO	EBSCOhost	Record Views	0	0	0	0	0
Complementary Index	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
Complementary Index	EBSCO	EBSCOhost	Searches-federated and automated	290190	76649	72502	73141	67898
Complementary Index	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
Complementary Index	EBSCO	EBSCOhost	Record Views	1296	377	294	333	292
Contemporary Authors Online	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
Contemporary Authors Online	EBSCO	EBSCOhost	Searches-federated and automated	282490	75795	70538	70629	65528
Contemporary Authors Online	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
Contemporary Authors Online	EBSCO	EBSCOhost	Record Views	7	2	3	1	1
DigiZeitschriften	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
DigiZeitschriften	EBSCO	EBSCOhost	Searches-federated and automated	289209	76321	72265	72953	67670
DigiZeitschriften	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
DigiZeitschriften	EBSCO	EBSCOhost	Record Views	558	144	132	157	125
Directory of Open Access Journals	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
Directory of Open Access Journals	EBSCO	EBSCOhost	Searches-federated and automated	288120	76068	71993	72670	67389
Directory of Open Access Journals	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
Directory of Open Access Journals	EBSCO	EBSCOhost	Record Views	149	43	48	29	29
E-LIS (Eprints in Library & Information Science)	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
E-LIS (Eprints in Library & Information Science)	EBSCO	EBSCOhost	Searches-federated and automated	5045	65	1337	1917	1726
E-LIS (Eprints in Library & Information Science)	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
E-LIS (Eprints in Library & Information Science)	EBSCO	EBSCOhost	Record Views	0	0	0	0	0
ECONIS	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
ECONIS	EBSCO	EBSCOhost	Searches-federated and automated	289680	76475	72381	73026	67798
ECONIS	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
ECONIS	EBSCO	EBSCOhost	Record Views	796	186	220	216	174
EDS Consolidated WTI	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
EDS Consolidated WTI	EBSCO	EBSCOhost	Searches-federated and automated	1412	385	325	358	344
EDS Consolidated WTI	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
EDS Consolidated WTI	EBSCO	EBSCOhost	Record Views	0	0	0	0	0
EDS Publication Finder	EBSCO	EBSCOhost	Regular Searches	1	1	0	0	0
EDS Publication Finder	EBSCO	EBSCOhost	Searches-federated and automated	11	2	0	9	0
EDS Publication Finder	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
